,0
134,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortableLegacyWinXP&s=s&p=&d=pa&n=Stellarium%20Portable&f=StellariumPortableLegacyWinXP_0.13.3.paf.exe
135,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
136,https://portableapps.com/apps/utilities/sumo-portable//support/antivirus?n=SUMo Portable (Discontinued)&a=SUMoPortable&v=5.17.10.542 Discontinued&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe&h=6d4ebe2beb331cf25ead5d8eed1dbc3229733cce95aefea5dd4186327adf3b0e
137,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
138,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
139,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeys_x64_setup.exe
140,https://pspad.poradna.net/release/pspad507_x64_setup.exe
141,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4Sure64Setup.exe
142,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
143,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-install.exe
144,https://portableapps.com/apps/graphics_pictures/krita-portable//downloading/?a=KritaPortableLegacyWin7x64&s=s&p=&d=pa&n=Krita%20Portable&f=KritaPortableLegacyWin7x64_5.0.6.paf.exe
145,https://portableapps.com/apps/education/stellarium_portable//support/antivirus?n=Stellarium Portable&a=StellariumPortable&v=24.1.0&f=StellariumPortable_24.1.0.paf.exe&h=5506e9be718b99e8048f4bb9f3031e1c0cdc8edb41e28d3037a4d66051f7dd39
146,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
147,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
148,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
149,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
